
#LAMMPS data file for  560 tatb and 400 cl20                                                         
 27840   atoms
     4  atom types


   0.0000000000000000        101.40000000000001      xlo xhi
   0.0000000000000000        100.29999999999971      ylo yhi
   0.0000000000000000        101.84999999999940      zlo zhi

   7.5724393247565500E-006   7.6894610690573746E-006   7.6894604885192359E-006 xy xz yz

 Masses

 1   12.011150360107422     
 2   1.0079699754714966     
 3   15.999400138854980     
 4   14.006699562072754     

 Atoms

     1  1 0.000000   79.933998108   56.622001648   67.510002136
     2  2 0.000000   79.109001160   56.205001831   67.488998413
     3  1 0.000000   81.041000366   58.776000977   67.042999268
     4  2 0.000000   80.822998047   59.637001038   66.766998291
     5  1 0.000000   82.901000977   57.236000061   66.911003113
     6  2 0.000000   83.718002319   57.095001221   66.509002686
     7  1 0.000000   81.765998840   58.715999603   68.440002441
     8  2 0.000000   81.907997131   59.563999176   68.802001953
     9  1 0.000000   80.643997192   56.560001373   68.916999817
    10  2 0.000000   80.101997375   56.158000946   69.607002258
    11  1 0.000000   82.165000916   55.860000610   67.235000610
    12  2 0.000000   82.672996521   55.166999817   66.950996399
    13  4 0.000000   78.700996399   58.415000916   66.375000000
    14  4 0.000000   79.811996460   58.011001587   67.149002075
    15  4 0.000000   81.720001221   57.794998169   64.874000549
    16  4 0.000000   82.054000854   58.159000397   66.166000366
    17  4 0.000000   83.904998779   57.701000214   69.083999634
    18  4 0.000000   83.045997620   58.085998535   68.083000183
    19  4 0.000000   80.595001221   58.395000458   70.575996399
    20  4 0.000000   81.001998901   57.896999359   69.342002869
    21  4 0.000000   81.989997864   54.506999969   69.279998779
    22  4 0.000000   81.882003784   55.800998688   68.666999817
    23  4 0.000000   80.385002136   54.681999207   66.036003113
    24  4 0.000000   80.848999023   55.908000946   66.595001221
    25  3 0.000000   77.883003235   57.554000854   66.101997375
    26  3 0.000000   78.643997192   59.598999023   66.097000122
    27  3 0.000000   80.708999634   58.296001434   64.404998779
    28  3 0.000000   82.487998962   57.021999359   64.310997009
    29  3 0.000000   84.712997437   56.812000275   68.811996460
    30  3 0.000000   83.801002502   58.296001434   70.142997742
    31  3 0.000000   79.805999756   57.719001770   71.208000183
    32  3 0.000000   81.050003052   59.478000641   70.907997131
    33  3 0.000000   81.275001526   54.301998138   70.236999512
    34  3 0.000000   82.852996826   53.782001495   68.820999146
    35  3 0.000000   81.234001160   53.887001038   65.697998047
    36  3 0.000000   79.179000854   54.590999603   65.887001038
    37  1 0.000000   75.967002869   50.879001617   65.722999573
    38  2 0.000000   75.584999084   50.645999908   64.913002014
    39  1 0.000000   77.066001892   49.910999298   67.706001282
    40  2 0.000000   77.346000671   49.083999634   68.025001526
    41  1 0.000000   76.276000977   52.025001526   68.574996948
    42  2 0.000000   75.986999512   52.450000763   69.338996887
    43  1 0.000000   78.219001770   50.979000092   67.600997925
    44  2 0.000000   79.037002563   50.646999359   67.898002625
    45  1 0.000000   77.122001648   51.944000244   65.597999573
    46  2 0.000000   77.344001770   52.173999786   64.688003540
    47  1 0.000000   75.588996887   52.638000488   67.273002625
    48  2 0.000000   75.013999939   53.292999268   67.511001587
    49  4 0.000000   76.008003235   48.444999695   66.038002014
    50  4 0.000000   76.515998840   49.719001770   66.377998352
    51  4 0.000000   74.865997314   50.074001312   68.831001282
    52  4 0.000000   76.140998840   50.575000763   68.644996643
    53  4 0.000000   78.391998291   53.236000061   68.544998169
    54  4 0.000000   77.727996826   52.033000946   68.500999451
    55  4 0.000000   79.531997681   51.376998901   65.561996460
    56  4 0.000000   78.320999146   51.442001343   66.241996765
    57  4 0.000000   76.335998535   54.297000885   65.621002197
    58  4 0.000000   76.633003235   53.104999542   66.361999512
    59  4 0.000000   73.693000793   51.840000153   65.944999695
    60  4 0.000000   74.941001892   51.534000397   66.560997009
    61  3 0.000000   75.157997131   48.410999298   65.165000916
    62  3 0.000000   76.504997253   47.497001648   66.619003296
    63  3 0.000000   74.668998718   48.923999786   68.468002319
    64  3 0.000000   74.058998108   50.826000214   69.365997314
    65  3 0.000000   77.746002197   54.213001251   68.930000305
    66  3 0.000000   79.568000793   53.217998505   68.223999023
    67  3 0.000000   79.504997253   51.613998413   64.369003296
    68  3 0.000000   80.513999939   51.066001892   66.217002869
    69  3 0.000000   76.861000061   54.401000977   64.531997681
    70  3 0.000000   75.652000427   55.118999481   66.202003479
    71  3 0.000000   73.059997559   52.750999451   66.430000305
    72  3 0.000000   73.358001709   51.103000641   65.032997131
    73  1 0.000000   79.800003052   50.069999695   60.102001190
    74  2 0.000000   80.625999451   50.486999512   60.124000549
    75  1 0.000000   78.694000244   47.915000916   60.569000244
    76  2 0.000000   78.911003113   47.055999756   60.846000671
    77  1 0.000000   76.833000183   49.456001282   60.701999664
    78  2 0.000000   76.016998291   49.596000671   61.104000092
    79  1 0.000000   77.968002319   47.976001740   59.172000885
    80  2 0.000000   77.827003479   47.127998352   58.811000824
    81  1 0.000000   79.089996338   50.132999420   58.696998596
    82  2 0.000000   79.632003784   50.534000397   58.006000519
    83  1 0.000000   77.569000244   50.832000732   60.377998352
    84  2 0.000000   77.060997009   51.523998260   60.662998199
    85  4 0.000000   81.032997131   48.276000977   61.237998962
    86  4 0.000000   79.922996521   48.680000305   60.464000702
    87  4 0.000000   78.013000488   48.895999908   62.740001678
    88  4 0.000000   77.679000854   48.534000397   61.448001862
    89  4 0.000000   75.829002380   48.991001129   58.528999329
    90  4 0.000000   76.688003540   48.604999542   59.529998779
    91  4 0.000000   79.138000488   48.297000885   57.036998749
    92  4 0.000000   78.732002258   48.794998169   58.270000458
